SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-1-2010,Townhouse,6094 CALLE DE AMOR,San Jose,CA,95124,483500,2,2.5,San Jose,1490,2300,1977,3563,324,364,Sold,,,http://www.redfin.com/CA/San-Jose/6094-Calle-De-Amor-95124/unit-87/home/1553402,MLSListings,ML81022434,N,Y,37.228713,-121.905797
PAST SALE,November-8-2013,Multi-Family (2-4 Unit),5895 CAMDEN Ave,San Jose,CA,95124,802200,5,3.0,San Jose,2044,9620,1970,2399,392,,Sold,,,http://www.redfin.com/CA/San-Jose/5895-Camden-Ave-95124/home/638052,MLSListings,ML81336164,N,Y,37.229197,-121.904928
PAST SALE,November-22-2010,Multi-Family (2-4 Unit),5883 CAMDEN Ave,San Jose,CA,95124,620000,5,3.0,San Jose,2213,8816,1968,3481,280,,Sold,,,http://www.redfin.com/CA/San-Jose/5883-Camden-Ave-95124/home/917881,MLSListings,ML81022772,N,Y,37.2293616,-121.9048852
PAST SALE,June-3-2002,Single Family Residential,1636 HYACINTH Ln,San Jose,CA,95124,529000,3,2.0,San Jose,1286,6200,,6575,411,,Sold,,,http://www.redfin.com/CA/San-Jose/1636-Hyacinth-Ln-95124/home/833531,MLSListings,ML80221531,N,Y,37.2292055,-121.9059077
PAST SALE,March-31-1998,Single Family Residential,1631 CANNA Ln,San Jose,CA,95124,365000,3,2.0,San Jose,1540,6534,,8100,237,,Sold,,,http://www.redfin.com/CA/San-Jose/1631-Canna-Ln-95124/home/1609363,MLSListings,ML89807134,N,Y,37.2311151,-121.9057521
PAST SALE,October-25-2004,Multi-Family (2-4 Unit),5845 CAMDEN Ave,San Jose,CA,95124,670000,5,3.0,San Jose,2348,8463,1974,5700,285,,Sold,,,http://www.redfin.com/CA/San-Jose/5845-Camden-Ave-95124/home/918096,MLSListings,ML80405761,N,Y,37.230095,-121.904626
PAST SALE,,Multi-Family (2-4 Unit),5743 Clematis Dr Unit B,San Jose,CA,95124,1770000,,,,2311,7069,1973,,766,,,,,http://www.redfin.com/CA/San-Jose/5743-Clematis-Dr-95124/unit-B/home/1639295,,,N,Y,37.2307722,-121.904574
PAST SALE,August-18-2017,Multi-Family (2-4 Unit),5740 Canna Ln,SAN JOSE,CA,95124,1100000,5,,SAN JOSE,2605,6528,1973,1020,422,,Sold,,,http://www.redfin.com/CA/San-Jose/5740-Canna-Ln-95124/unit-A/home/920029,MLSListings,ML81668814,N,Y,37.2310682,-121.9041517
PAST SALE,January-12-2016,Single Family Residential,5840 Ixias Ln,SAN JOSE,CA,95124,1040000,4,2.0,SAN JOSE,1282,7122,1963,1604,811,,Sold,,,http://www.redfin.com/CA/San-Jose/5840-Ixias-Ln-95124/home/555664,MLSListings,ML81533945,N,Y,37.2303158,-121.9048408
PAST SALE,May-17-2002,Single Family Residential,5888 IXIAS Ln,San Jose,CA,95124,485000,3,1.5,San Jose,1150,6970,,6592,422,,Sold,,,http://www.redfin.com/CA/San-Jose/5888-Ixias-Ln-95124/home/717295,MLSListings,ML80214635,N,Y,37.2294055,-121.9052409
PAST SALE,January-10-2003,Condo/Co-op,6041 CALLE DE RICO,San Jose,CA,95124,435000,3,3.5,MONTANAS DE LG,2235,,,6354,195,240,Sold,,,http://www.redfin.com/CA/San-Jose/6041-Calle-De-Rico-95124/home/1639282,MLSListings,ML80249314,N,Y,37.228744,-121.905319
PAST SALE,April-29-2014,Townhouse,6043 CALLE DE RICO,San Jose,CA,95124,720000,3,3.5,San Jose,2235,1840,1975,2227,322,375,Sold,,,http://www.redfin.com/CA/San-Jose/6043-Calle-De-Rico-95124/home/1756614,MLSListings,ML81408501,N,Y,37.228744,-121.905319
PAST SALE,,Multi-Family (2-4 Unit),1608 Clematis Dr,San Jose,CA,95124,195000,,,,2305,8720,1968,,85,,,,,http://www.redfin.com/CA/San-Jose/1608-Clematis-Dr-95124/home/918092,,,N,Y,37.230331,-121.904507
PAST SALE,July-26-2006,Single Family Residential,1626 CANNA Ln,San Jose,CA,95124,767500,3,2.0,Good One,1540,6970,1981,5061,498,,Sold,,,http://www.redfin.com/CA/San-Jose/1626-Canna-Ln-95124/home/918036,MLSListings,ML80638799,N,Y,37.2307094,-121.9052853
PAST SALE,,Single Family Residential,1621 Ixias Ct,San Jose,CA,95124,41000,3,2.0,,1176,7478,1963,,35,,,,,http://www.redfin.com/CA/San-Jose/1621-Ixias-Ct-95124/home/921414,,,N,Y,37.2304193,-121.9053742
PAST SALE,,Single Family Residential,1622 Ixias Ct,San Jose,CA,95124,261000,3,2.0,,1057,6628,1964,,247,,,,,http://www.redfin.com/CA/San-Jose/1622-Ixias-Ct-95124/home/1302068,,,N,Y,37.2299653,-121.9055076
PAST SALE,,Single Family Residential,5864 Ixias Ln,San Jose,CA,95124,54700,3,2.0,,1176,5965,1963,,47,,,,,http://www.redfin.com/CA/San-Jose/5864-Ixias-Ln-95124/home/1758603,,,N,Y,37.2298481,-121.9050667
